Player1_name,Player2_name,surface,first_serve_pct,aces,double_faults,first_serve_in,first_serve_points_won,second_serve_points_won,break_points_saved,break_points_faced
Richard Krajicek,Anders Jarryd,Grass,0.10386965376782077,0.0,0.07692307692307693,0.0886426592797784,0.07534246575342465,0.18292682926829268,0.041666666666666664,0.029411764705882353
Ryan Harrison,Guillermo Garcia Lopez,Hard,0.0835030549898167,0.07964601769911504,0.038461538461538464,0.08310249307479224,0.0821917808219178,0.10975609756097561,0.08333333333333333,0.058823529411764705
Andrea Gaudenzi,Fernando Vicente,Clay,0.09979633401221996,0.017699115044247787,0.07692307692307693,0.06925207756232687,0.0684931506849315,0.17073170731707318,0.041666666666666664,0.058823529411764705
Gianluca Pozzi,Marat Safin,Carpet,0.12219959266802444,0.12389380530973451,0.07692307692307693,0.09695290858725762,0.0958904109589041,0.15853658536585366,0.08333333333333333,0.08823529411764706
Rodolphe Gilbert,Guy Forget,Hard,0.07331975560081466,0.061946902654867256,0.0,0.06925207756232687,0.0684931506849315,0.07317073170731707,0.0,0.029411764705882353
Vincent Spadea,Marcelo Filippini,Clay,0.1934826883910387,0.008849557522123894,0.07692307692307693,0.21052631578947367,0.16095890410958905,0.10975609756097561,0.3333333333333333,0.3235294117647059
Stefan Koubek,Jiri Vanek,Clay,0.12423625254582485,0.008849557522123894,0.0,0.11080332409972299,0.10273972602739725,0.1951219512195122,0.08333333333333333,0.058823529411764705
David Prinosil,Greg Rusedski,Clay,0.13034623217922606,0.02654867256637168,0.07692307692307693,0.10249307479224377,0.0821917808219178,0.21951219512195122,0.25,0.20588235294117646
David Ferrer,Lukas Lacko,Clay,0.0814663951120163,0.017699115044247787,0.0,0.08033240997229917,0.08904109589041095,0.08536585365853659,0.125,0.08823529411764706
Andrei Pavel,Mikhail Youzhny,Clay,0.3727087576374745,0.04424778761061947,0.15384615384615385,0.30193905817174516,0.2328767123287671,0.43902439024390244,0.5,0.5882352941176471
Javier Frana,Cedric Pioline,Grass,0.1589424173423248,0.05758018199186158,0.10546553274608353,0.13156430345725714,0.12262986936436115,0.20441011069028367,0.14710651511426037,0.1521549474116043
Nicolas Almagro,Carlos Berlocq,Clay,0.109979633401222,0.05309734513274336,0.0,0.07756232686980609,0.07191780821917808,0.2073170731707317,0.041666666666666664,0.029411764705882353
Jonas Bjorkman,Harel Levy,Hard,0.1589424173423248,0.05758018199186158,0.10546553274608353,0.13156430345725714,0.12262986936436115,0.20441011069028367,0.14710651511426037,0.1521549474116043
Marcos Baghdatis,Donald Young,Hard,0.18329938900203666,0.035398230088495575,0.15384615384615385,0.10249307479224377,0.0958904109589041,0.34146341463414637,0.25,0.2647058823529412
Younes El Aynaoui,Roger Federer,Hard,0.09775967413441955,0.02654867256637168,0.07692307692307693,0.08033240997229917,0.07876712328767123,0.14634146341463414,0.041666666666666664,0.029411764705882353
Marc Rosset,Carlos Moya,Hard,0.06313645621181263,0.017699115044247787,0.11538461538461539,0.0443213296398892,0.0410958904109589,0.07317073170731707,0.041666666666666664,0.08823529411764706
Neville Godwin,Michael Russell,Hard,0.12016293279022404,0.008849557522123894,0.038461538461538464,0.11634349030470914,0.09931506849315068,0.15853658536585366,0.0,0.058823529411764705
Damir Dzumhur,Nicolas Almagro,Hard,0.1670061099796334,0.02654867256637168,0.15384615384615385,0.1523545706371191,0.1404109589041096,0.17073170731707318,0.125,0.14705882352941177
Andrea Gaudenzi,Alex Corretja,Hard,0.11608961303462322,0.04424778761061947,0.038461538461538464,0.09141274238227147,0.08561643835616438,0.18292682926829268,0.041666666666666664,0.029411764705882353
Nicolas Mahut,Daniele Bracciali,Hard,0.13441955193482688,0.10619469026548672,0.11538461538461539,0.11357340720221606,0.11986301369863013,0.24390243902439024,0.08333333333333333,0.058823529411764705
Diego Schwartzman,Aljaz Bedene,Clay,0.1384928716904277,0.0,0.07692307692307693,0.1440443213296399,0.11643835616438356,0.08536585365853659,0.08333333333333333,0.20588235294117646
Santiago Giraldo,Albert Montanes,Hard,0.1955193482688391,0.05309734513274336,0.11538461538461539,0.18282548476454294,0.1541095890410959,0.23170731707317074,0.16666666666666666,0.17647058823529413
Reilly Opelka,Aslan Karatsev,Clay,0.14052953156822812,0.1592920353982301,0.038461538461538464,0.11634349030470914,0.11643835616438356,0.21951219512195122,0.08333333333333333,0.058823529411764705
Juan Antonio Marin,Marcelo Rios,Clay,0.08757637474541752,0.017699115044247787,0.07692307692307693,0.0664819944598338,0.07191780821917808,0.12195121951219512,0.0,0.029411764705882353
Magnus Norman,Derrick Rostagno,Carpet,0.08961303462321792,0.07079646017699115,0.07692307692307693,0.0886426592797784,0.08904109589041095,0.07317073170731707,0.0,0.0
Cedric Pioline,Todd Martin,Carpet,0.109979633401222,0.061946902654867256,0.11538461538461539,0.08033240997229917,0.07876712328767123,0.15853658536585366,0.0,0.058823529411764705
Peter Gojowczyk,Joao Sousa,Hard,0.1670061099796334,0.12389380530973451,0.11538461538461539,0.10249307479224377,0.10616438356164383,0.36585365853658536,0.08333333333333333,0.11764705882352941
Jeremy Bates,Leander Paes,Grass,0.1589424173423248,0.05758018199186158,0.10546553274608353,0.13156430345725714,0.12262986936436115,0.20441011069028367,0.14710651511426037,0.1521549474116043
Nicolas Escude,Petr Korda,Carpet,0.10386965376782077,0.07964601769911504,0.07692307692307693,0.08310249307479224,0.08561643835616438,0.14634146341463414,0.08333333333333333,0.058823529411764705
Jose Acasuso,Tomas Zib,Hard,0.1364562118126273,0.18584070796460178,0.038461538461538464,0.10526315789473684,0.11301369863013698,0.2073170731707317,0.125,0.14705882352941177
Jan Michael Gambill,Wayne Ferreira,Hard,0.20773930753564154,0.10619469026548672,0.07692307692307693,0.14958448753462603,0.1404109589041096,0.32926829268292684,0.125,0.11764705882352941
Andreas Vinciguerra,Davide Sanguinetti,Hard,0.21181262729124237,0.07079646017699115,0.07692307692307693,0.17174515235457063,0.14726027397260275,0.1951219512195122,0.375,0.4117647058823529
Davide Sanguinetti,Amer Delic,Hard,0.20366598778004075,0.05309734513274336,0.11538461538461539,0.1440443213296399,0.1267123287671233,0.34146341463414637,0.16666666666666666,0.14705882352941177
Dominic Thiem,Santiago Giraldo,Clay,0.13238289205702647,0.05309734513274336,0.038461538461538464,0.12742382271468145,0.11301369863013698,0.15853658536585366,0.125,0.11764705882352941
Marat Safin,Vincent Spadea,Hard,0.2769857433808554,0.061946902654867256,0.38461538461538464,0.2077562326869806,0.1952054794520548,0.36585365853658536,0.08333333333333333,0.17647058823529413
Marko Tkalec,Bartlomiej Dabrowski,Clay,0.1589424173423248,0.05758018199186158,0.10546553274608353,0.13156430345725714,0.12262986936436115,0.20441011069028367,0.14710651511426037,0.1521549474116043
Jonas Bjorkman,Radek Stepanek,Grass,0.35845213849287166,0.07964601769911504,0.23076923076923078,0.2853185595567867,0.2636986301369863,0.4878048780487805,0.375,0.4411764705882353
Andrei Cherkasov,Jim Courier,Hard,0.12219959266802444,0.02654867256637168,0.07692307692307693,0.10249307479224377,0.08904109589041095,0.14634146341463414,0.125,0.14705882352941177
Lleyton Hewitt,Somdev Devvarman,Clay,0.15274949083503056,0.017699115044247787,0.11538461538461539,0.12465373961218837,0.1095890410958904,0.14634146341463414,0.08333333333333333,0.20588235294117646
Hicham Arazi,Fernando Vicente,Clay,0.20977596741344195,0.008849557522123894,0.038461538461538464,0.18005540166204986,0.1506849315068493,0.23170731707317074,0.125,0.17647058823529413
Jordi Burillo,Felix Mantilla,Clay,0.11812627291242363,0.017699115044247787,0.038461538461538464,0.0997229916897507,0.0958904109589041,0.17073170731707318,0.0,0.029411764705882353
Benjamin Becker,Mischa Zverev,Grass,0.09572301425661914,0.08849557522123894,0.07692307692307693,0.08310249307479224,0.09246575342465753,0.14634146341463414,0.041666666666666664,0.058823529411764705
Jonas Bjorkman,Yevgeny Kafelnikov,Hard,0.13034623217922606,0.061946902654867256,0.07692307692307693,0.0997229916897507,0.08561643835616438,0.2073170731707317,0.125,0.14705882352941177
Diego Schwartzman,Paolo Lorenzi,Hard,0.09775967413441955,0.035398230088495575,0.0,0.09141274238227147,0.0821917808219178,0.0975609756097561,0.125,0.11764705882352941
Peter Wright,Paul Wekesa,Carpet,0.1589424173423248,0.05758018199186158,0.10546553274608353,0.13156430345725714,0.12262986936436115,0.20441011069028367,0.14710651511426037,0.1521549474116043
Richey Reneberg,Todd Martin,Hard,0.10590631364562118,0.061946902654867256,0.11538461538461539,0.07479224376731301,0.0684931506849315,0.15853658536585366,0.20833333333333334,0.17647058823529413
Stefan Edberg,Cedric Pioline,Hard,0.1589424173423248,0.05758018199186158,0.10546553274608353,0.13156430345725714,0.12262986936436115,0.20441011069028367,0.14710651511426037,0.1521549474116043
Alexander Popp,Gregory Carraz,Hard,0.12627291242362526,0.07964601769911504,0.11538461538461539,0.0997229916897507,0.0958904109589041,0.23170731707317074,0.0,0.029411764705882353
Fernando Verdasco,Flavio Cipolla,Hard,0.13238289205702647,0.017699115044247787,0.07692307692307693,0.1440443213296399,0.1232876712328767,0.07317073170731707,0.08333333333333333,0.14705882352941177
Derrick Rostagno,Bryan Shelton,Clay,0.20162932790224034,0.10619469026548672,0.34615384615384615,0.16066481994459833,0.13356164383561644,0.18292682926829268,0.20833333333333334,0.29411764705882354
Andy Murray,Marin Cilic,Hard,0.12627291242362526,0.04424778761061947,0.038461538461538464,0.10526315789473684,0.09246575342465753,0.17073170731707318,0.20833333333333334,0.14705882352941177
Tim Mayotte,Jim Grabb,Carpet,0.2606924643584521,0.008849557522123894,0.2692307692307692,0.1994459833795014,0.17465753424657535,0.2926829268292683,0.5833333333333334,0.5588235294117647
Nikoloz Basilashvili,Sebastian Baez,Clay,0.1589424173423248,0.05758018199186158,0.10546553274608353,0.13156430345725714,0.12262986936436115,0.20441011069028367,0.14710651511426037,0.1521549474116043
Jurgen Melzer,Juan Martin del Potro,Hard,0.09164969450101833,0.05309734513274336,0.038461538461538464,0.07479224376731301,0.07534246575342465,0.12195121951219512,0.125,0.11764705882352941
Jo-Wilfried Tsonga,Jeremy Chardy,Clay,0.14663951120162932,0.05309734513274336,0.0,0.1329639889196676,0.136986301369863,0.2073170731707317,0.08333333333333333,0.058823529411764705
Fernando Verdasco,Andrey Kuznetsov,Clay,0.12423625254582485,0.017699115044247787,0.11538461538461539,0.12465373961218837,0.1232876712328767,0.07317073170731707,0.25,0.17647058823529413
Sergei Bubka,Ernests Gulbis,Hard,0.1120162932790224,0.04424778761061947,0.07692307692307693,0.09695290858725762,0.10273972602739725,0.08536585365853659,0.041666666666666664,0.08823529411764706
Steve Campbell,Thomas Muster,Clay,0.11405295315682282,0.04424778761061947,0.038461538461538464,0.06371191135734072,0.0684931506849315,0.2073170731707317,0.125,0.11764705882352941
Rainer Schuettler,Magnus Norman,Hard,0.12219959266802444,0.02654867256637168,0.038461538461538464,0.08587257617728532,0.0821917808219178,0.18292682926829268,0.041666666666666664,0.058823529411764705
Marat Safin,Nicolas Kiefer,Clay,0.1589424173423248,0.05758018199186158,0.10546553274608353,0.13156430345725714,0.12262986936436115,0.20441011069028367,0.14710651511426037,0.1521549474116043
Vasek Pospisil,Denis Kudla,Hard,0.1120162932790224,0.09734513274336283,0.038461538461538464,0.0886426592797784,0.08561643835616438,0.17073170731707318,0.041666666666666664,0.058823529411764705
David Ferrer,John Isner,Clay,0.10590631364562118,0.017699115044247787,0.038461538461538464,0.10249307479224377,0.11301369863013698,0.10975609756097561,0.08333333333333333,0.058823529411764705
Petr Korda,Mark Woodforde,Carpet,0.1710794297352342,0.0,0.23076923076923078,0.11634349030470914,0.0684931506849315,0.2804878048780488,0.4166666666666667,0.4411764705882353
Fabio Fognini,Steve Johnson,Hard,0.13034623217922606,0.07079646017699115,0.11538461538461539,0.10526315789473684,0.10273972602739725,0.17073170731707318,0.20833333333333334,0.17647058823529413
Roberto Carballes Baena,Federico Gaio,Clay,0.13441955193482688,0.017699115044247787,0.15384615384615385,0.10526315789473684,0.0958904109589041,0.2073170731707317,0.08333333333333333,0.08823529411764706
Milos Raonic,Thomaz Bellucci,Clay,0.10590631364562118,0.04424778761061947,0.038461538461538464,0.10249307479224377,0.10616438356164383,0.10975609756097561,0.0,0.0
Jordan Thompson,Gianluca Mager,Hard,0.2953156822810591,0.1504424778761062,0.07692307692307693,0.23822714681440443,0.2328767123287671,0.4024390243902439,0.2916666666666667,0.35294117647058826
Marc Rosset,Pete Sampras,Clay,0.38085539714867617,0.168141592920354,0.15384615384615385,0.3407202216066482,0.3287671232876712,0.36585365853658536,0.16666666666666666,0.23529411764705882
Jonas Bjorkman,Sergi Bruguera,Clay,0.12016293279022404,0.035398230088495575,0.11538461538461539,0.0997229916897507,0.10273972602739725,0.14634146341463414,0.20833333333333334,0.14705882352941177
Thierry Van Den Daele,Marcos Aurelio Gorriz,Clay,0.12219959266802444,0.008849557522123894,0.11538461538461539,0.10803324099722991,0.0821917808219178,0.18292682926829268,0.041666666666666664,0.08823529411764706
Owen Casey,Goran Ivanisevic,Carpet,0.1589424173423248,0.05758018199186158,0.10546553274608353,0.13156430345725714,0.12262986936436115,0.20441011069028367,0.14710651511426037,0.1521549474116043
David Prinosil,Jeff Tarango,Hard,0.13034623217922606,0.02654867256637168,0.07692307692307693,0.12188365650969529,0.0958904109589041,0.13414634146341464,0.08333333333333333,0.11764705882352941
Albert Ramos,Jan Hajek,Hard,0.09368635437881874,0.017699115044247787,0.038461538461538464,0.06925207756232687,0.0547945205479452,0.2073170731707317,0.041666666666666664,0.029411764705882353
Alberto Mancini,Malivai Washington,Hard,0.3340122199592668,0.08849557522123894,0.2692307692307692,0.24376731301939059,0.24315068493150685,0.4634146341463415,0.5,0.4411764705882353
Thomas Johansson,Xavier Malisse,Clay,0.1446028513238289,0.04424778761061947,0.038461538461538464,0.10249307479224377,0.10616438356164383,0.24390243902439024,0.041666666666666664,0.058823529411764705
Jan Siemerink,Pablo Arraya,Carpet,0.13034623217922606,0.05309734513274336,0.07692307692307693,0.12465373961218837,0.11986301369863013,0.13414634146341464,0.20833333333333334,0.14705882352941177
Radu Albot,Miljan Zekic,Clay,0.10183299389002037,0.008849557522123894,0.038461538461538464,0.08310249307479224,0.0821917808219178,0.13414634146341464,0.08333333333333333,0.058823529411764705
Andreas Seppi,Borna Coric,Grass,0.2668024439918534,0.13274336283185842,0.15384615384615385,0.23268698060941828,0.2054794520547945,0.3048780487804878,0.20833333333333334,0.29411764705882354
Janko Tipsarevic,Thomaz Bellucci,Clay,0.17311608961303462,0.02654867256637168,0.19230769230769232,0.11634349030470914,0.1095890410958904,0.24390243902439024,0.16666666666666666,0.20588235294117646
Michael Tebbutt,Andrei Olhovskiy,Hard,0.15478615071283094,0.07079646017699115,0.07692307692307693,0.14127423822714683,0.136986301369863,0.13414634146341464,0.16666666666666666,0.17647058823529413
Marcos Baghdatis,Justin Gimelstob,Hard,0.1690427698574338,0.035398230088495575,0.15384615384615385,0.10526315789473684,0.11301369863013698,0.3048780487804878,0.08333333333333333,0.11764705882352941
Gilbert Schaller,Emilio Benfele Alvarez,Clay,0.19144602851323828,0.017699115044247787,0.11538461538461539,0.1772853185595568,0.1404109589041096,0.23170731707317074,0.20833333333333334,0.20588235294117646
Filip Krajinovic,Juan Ignacio Londero,Clay,0.09368635437881874,0.017699115044247787,0.0,0.07479224376731301,0.0684931506849315,0.13414634146341464,0.041666666666666664,0.058823529411764705
Victor Hanescu,Mariano Puerta,Clay,0.10590631364562118,0.11504424778761062,0.0,0.11357340720221606,0.11643835616438356,0.07317073170731707,0.125,0.08823529411764706
Lars Burgsmuller,Andrew Ilie,Clay,0.14663951120162932,0.02654867256637168,0.07692307692307693,0.09141274238227147,0.10273972602739725,0.2073170731707317,0.16666666666666666,0.14705882352941177
Daniel Nestor,Marcelo Rios,Hard,0.09775967413441955,0.05309734513274336,0.0,0.08033240997229917,0.07534246575342465,0.13414634146341464,0.0,0.029411764705882353
